P1	Borivali --> Churchgate
P2390	Mankhurd --> Sandhurst Road
P2391	Guru Tegh Bahadur Nagar --> Chunabhatti
P2392	Mankhurd --> Vashi
P2393	CBD Belapur --> Nerul
P2394	Nerul --> Juinagar
P2395	Chhatrapati Shivaji Terminus --> Chunabhatti
P2396	Khandeshwar --> Govandi
P2397	Mankhurd --> Seawoods-Darave
P2398	Kurla --> Nerul
P2399	Dockyard Road --> Guru Tegh Bahadur Nagar
P2400	Sewri --> Wadala Road
P2401	Panvel --> Sandhurst Road
P2402	Sandhurst Road --> Chhatrapati Shivaji Terminus
P2403	Cotton Green --> Wadala Road
P2404	Kurla --> Nerul
P2405	Dockyard Road --> Vashi
P2406	Guru Tegh Bahadur Nagar --> Seawoods-Darave
P2407	Chembur --> Sewri
P2408	Kurla --> Dockyard Road
P2409	Sanpada --> Seawoods-Darave
P2410	Wadala Road --> Chunabhatti
P2411	Sewri --> Chunabhatti
P2412	Nerul --> Reay Road
P2413	Nerul --> Cotton Green
P2414	Nerul --> Cotton Green
P2415	Nerul --> Govandi
P2416	Dockyard Road --> Vashi
P2417	Kharghar --> Panvel
P2418	Seawoods-Darave --> Sewri
P2419	Tilak Nagar --> CBD Belapur
P2420	Chunabhatti --> Chhatrapati Shivaji Terminus
P2421	Mansarovar --> Sanpada
P2422	Vashi --> Mankhurd
P2423	Guru Tegh Bahadur Nagar --> Mansarovar
P2424	Sanpada --> Juinagar
P2425	Sanpada --> Chembur
P2426	Reay Road --> Panvel
P2427	CBD Belapur --> Guru Tegh Bahadur Nagar
P2428	Chunabhatti --> Sewri
P2429	Sandhurst Road --> Sewri
P2430	Reay Road --> Nerul
P2431	Chhatrapati Shivaji Terminus --> Vashi
P2432	Cotton Green --> Tilak Nagar
P2433	Kurla --> Khandeshwar
P2434	Juinagar --> Dockyard Road
P2435	CBD Belapur --> Tilak Nagar
P2436	Guru Tegh Bahadur Nagar --> CBD Belapur
P2437	Kharghar --> Mankhurd
P2438	Mansarovar --> Dockyard Road
P2439	Chembur --> Khandeshwar
P2440	Vashi --> Guru Tegh Bahadur Nagar
P2441	Seawoods-Darave --> Panvel
P2442	Seawoods-Darave --> Vashi
P2443	Seawoods-Darave --> Govandi
P2444	Nerul --> Mansarovar
P2445	Wadala Road --> Sewri
P2446	Juinagar --> Tilak Nagar
P2447	Sandhurst Road --> Dockyard Road
P2448	Kharghar --> Chembur
P2449	Kurla --> Panvel
P2450	Chhatrapati Shivaji Terminus --> Nerul
P2451	Seawoods-Darave --> Wadala Road
P2452	Nerul --> Cotton Green
P2453	Sandhurst Road --> Mansarovar
P2454	Chembur --> Tilak Nagar
P2455	Vashi --> Sandhurst Road
P2456	Sewri --> Kurla
P2457	Chunabhatti --> Sanpada
P2458	Mankhurd --> Sandhurst Road
P2459	Govandi --> Reay Road
P2460	Kurla --> Kharghar
P2461	Mankhurd --> Wadala Road
P2462	Dockyard Road --> Chhatrapati Shivaji Terminus
P2463	Seawoods-Darave --> Sandhurst Road
P2464	Chembur --> CBD Belapur
P2465	Vashi --> CBD Belapur
P2466	Seawoods-Darave --> Tilak Nagar
P2467	Mankhurd --> Nerul
P2468	Seawoods-Darave --> Guru Tegh Bahadur Nagar
P2469	Sanpada --> Khandeshwar
P2470	Vashi --> Wadala Road
P2471	Mankhurd --> Sanpada
P2472	Nerul --> Kharghar
P2473	Sandhurst Road --> Vashi
P2474	Sandhurst Road --> Mansarovar
P2475	Dockyard Road --> Chunabhatti
P2476	Kurla --> Chunabhatti
P2477	Cotton Green --> Sewri
P2478	Mansarovar --> Nerul
P2479	Khandeshwar --> Cotton Green
P2480	Nerul --> Govandi
P2481	Sewri --> Chunabhatti
P2482	Seawoods-Darave --> Chhatrapati Shivaji Terminus
P2483	Wadala Road --> Cotton Green
P2484	Wadala Road --> Chhatrapati Shivaji Terminus
P2485	Sandhurst Road --> Khandeshwar
P2486	Guru Tegh Bahadur Nagar --> Nerul
P2487	Sandhurst Road --> Seawoods-Darave
P2488	Dockyard Road --> Juinagar
P2489	Guru Tegh Bahadur Nagar --> Vashi
P2490	Vashi --> Cotton Green
P2491	Khandeshwar --> Mansarovar
P2492	Juinagar --> Chembur
P2493	Dockyard Road --> CBD Belapur
P2494	Dockyard Road --> Govandi
P2495	Mansarovar --> Chhatrapati Shivaji Terminus
P2496	Govandi --> Kurla
P2497	Sewri --> Mansarovar
P2498	Sanpada --> Chunabhatti
P2499	Sandhurst Road --> Chhatrapati Shivaji Terminus
P2500	Cotton Green --> Wadala Road
P2501	Kharghar --> Panvel
P2502	Wadala Road --> Kharghar
P2503	Cotton Green --> Nerul
P2504	Chhatrapati Shivaji Terminus --> Kharghar
P2505	Kurla --> Reay Road
P2506	Sandhurst Road --> Panvel
P2507	Chembur --> CBD Belapur
P2508	Chunabhatti --> Seawoods-Darave
P2509	Nerul --> Sewri
P2510	Mansarovar --> Reay Road
P2511	Chunabhatti --> Nerul
P2512	Juinagar --> Reay Road
P2513	Mankhurd --> Seawoods-Darave
P2514	Juinagar --> Vashi
P2515	Kharghar --> CBD Belapur
P2516	Nerul --> Kharghar
P2517	Nerul --> Sandhurst Road
P2518	Dockyard Road --> Reay Road
P2519	Guru Tegh Bahadur Nagar --> CBD Belapur
P2520	Govandi --> Mankhurd
P2521	Chembur --> Guru Tegh Bahadur Nagar
P2522	Guru Tegh Bahadur Nagar --> Dockyard Road
P2523	Reay Road --> Seawoods-Darave
P2524	Guru Tegh Bahadur Nagar --> Dockyard Road
P2525	Chhatrapati Shivaji Terminus --> Chembur
P2526	Chembur --> Sandhurst Road
P2527	CBD Belapur --> Govandi
P2528	Vashi --> Sanpada
P2529	Cotton Green --> Vashi
P2530	Khandeshwar --> Reay Road
P2531	Mansarovar --> Kurla
P2532	Tilak Nagar --> Chembur
P2533	Sandhurst Road --> Reay Road
P2534	Juinagar --> Guru Tegh Bahadur Nagar
P2535	Sewri --> Sanpada
P2536	Kharghar --> CBD Belapur
P2537	Wadala Road --> Reay Road
P2538	Kharghar --> Vashi
P2539	Chembur --> Nerul
P2540	Cotton Green --> Sanpada
P2541	Reay Road --> Sanpada
P2542	Reay Road --> Sewri
P2543	Panvel --> Juinagar
P2544	Nerul --> Cotton Green
P2545	CBD Belapur --> Dockyard Road
P2546	Cotton Green --> Sandhurst Road
P2547	Wadala Road --> CBD Belapur
P2548	Mansarovar --> Reay Road
P2549	Panvel --> Mankhurd
P2550	Chunabhatti --> Mankhurd
P2551	Dockyard Road --> Juinagar
P2552	Mankhurd --> Seawoods-Darave
P2553	Chhatrapati Shivaji Terminus --> Dockyard Road
P2554	CBD Belapur --> Reay Road
P2555	Govandi --> Panvel
P2556	Dockyard Road --> Sewri
P2557	Cotton Green --> Chunabhatti
P2558	Seawoods-Darave --> Govandi
P2559	Chembur --> Wadala Road
P2560	Seawoods-Darave --> Govandi
P2561	Tilak Nagar --> Dockyard Road
P2562	Seawoods-Darave --> Nerul
P2563	Seawoods-Darave --> Kurla
P2564	Chunabhatti --> Sandhurst Road
P2565	Panvel --> Chembur
P2566	Govandi --> Juinagar
P2567	Govandi --> Panvel
P2568	Mankhurd --> Govandi
P2569	Sandhurst Road --> Mankhurd
P2570	Seawoods-Darave --> Tilak Nagar
P2571	Panvel --> Guru Tegh Bahadur Nagar
P2572	Sewri --> Reay Road
P2573	Chembur --> Mankhurd
P2574	Dockyard Road --> Khandeshwar
P2575	Kurla --> Reay Road
P2576	Vashi --> CBD Belapur
P2577	Chunabhatti --> Dockyard Road
P2578	Chembur --> Nerul
P2579	CBD Belapur --> Chhatrapati Shivaji Terminus
P2580	Panvel --> Mankhurd
P2581	Chhatrapati Shivaji Terminus --> Kharghar
P2582	Chembur --> Nerul
P2583	Kurla --> Seawoods-Darave
P2584	Kurla --> Govandi
P2585	Chunabhatti --> Sanpada
P2586	Panvel --> CBD Belapur
P2587	Chunabhatti --> Dockyard Road
P2588	Sandhurst Road --> Kharghar
P2589	Wadala Road --> Sanpada
P2590	Reay Road --> Dockyard Road
P2591	Panvel --> Kurla
P2592	Chembur --> Seawoods-Darave
P2593	Seawoods-Darave --> Cotton Green
P2594	Mansarovar --> Nerul
P2595	Khandeshwar --> Govandi
P2596	Chhatrapati Shivaji Terminus --> Juinagar
P2597	Vashi --> Mankhurd
P2598	Wadala Road --> Mankhurd
P2599	Nerul --> Chunabhatti
P2600	Sandhurst Road --> Sanpada
P2601	Sanpada --> Khandeshwar
P2602	Chhatrapati Shivaji Terminus --> Mankhurd
P2603	Kharghar --> Govandi
P2604	Nerul --> Kharghar
P2605	Kurla --> Reay Road
P2606	Juinagar --> Kharghar
P2607	Chhatrapati Shivaji Terminus --> CBD Belapur
P2608	Vashi --> Mansarovar
P2609	Mankhurd --> Govandi
P2610	Sewri --> Chembur
P2611	Sewri --> Kurla
P2612	Sanpada --> Chembur
P2613	Wadala Road --> Kurla
P2614	Panvel --> Kurla
P2615	Sewri --> Reay Road
P2616	Guru Tegh Bahadur Nagar --> Chhatrapati Shivaji Terminus
P2617	Guru Tegh Bahadur Nagar --> Mansarovar
P2618	Chunabhatti --> Mansarovar
P2619	Sanpada --> Nerul
P2620	Chhatrapati Shivaji Terminus --> Chunabhatti
P2621	Wadala Road --> Mankhurd
P2622	Vashi --> Panvel
P2623	Kurla --> Wadala Road
P2624	Nerul --> Sandhurst Road
P2625	Govandi --> Chhatrapati Shivaji Terminus
P2626	Khandeshwar --> Govandi
P2627	Mansarovar --> Reay Road
P2628	Juinagar --> Govandi
P2629	CBD Belapur --> Vashi
P2630	Dockyard Road --> Kurla
P2631	Cotton Green --> Sandhurst Road
P2632	Chhatrapati Shivaji Terminus --> CBD Belapur
P2633	Vashi --> Tilak Nagar
P2634	Kharghar --> Mansarovar
P2635	Mankhurd --> Wadala Road
P2636	Cotton Green --> CBD Belapur
P2637	Chembur --> Sandhurst Road
P2638	Juinagar --> Nerul
P2639	Khandeshwar --> Govandi
P2640	Govandi --> Tilak Nagar
P2641	Sewri --> Juinagar
P2642	Nerul --> Guru Tegh Bahadur Nagar
P2643	Sanpada --> Vashi
P2644	Nerul --> Sewri
P2645	Kharghar --> Kurla
P2646	Kurla --> Mankhurd
P2647	Chunabhatti --> Sewri
P2648	Sanpada --> Khandeshwar
P2649	Sanpada --> Tilak Nagar
P2650	Dockyard Road --> Sewri
P2651	Sanpada --> Kurla
P2652	Chembur --> Seawoods-Darave
P2653	CBD Belapur --> Govandi
P2654	Reay Road --> Tilak Nagar
P2655	Tilak Nagar --> Dockyard Road
P2656	Sanpada --> Khandeshwar
P2657	Khandeshwar --> Reay Road
P2658	Panvel --> Chhatrapati Shivaji Terminus
P2659	Nerul --> Wadala Road
P2660	Kharghar --> Mansarovar
P2661	Juinagar --> Mansarovar
P2662	Sanpada --> CBD Belapur
P2663	Govandi --> Sandhurst Road
P2664	Vashi --> Chhatrapati Shivaji Terminus
P2665	Khandeshwar --> Chunabhatti
P2666	Nerul --> Cotton Green
P2667	Chembur --> Mankhurd
P2668	Tilak Nagar --> Mankhurd
P2669	Cotton Green --> Mankhurd
P2670	Nerul --> Sanpada
P2671	Reay Road --> Dockyard Road
P2672	Chembur --> Kurla
P2673	Nerul --> Sandhurst Road
P2674	Chhatrapati Shivaji Terminus --> Guru Tegh Bahadur Nagar
P2675	Kurla --> Juinagar
P2676	Chembur --> Nerul
P2677	Chembur --> Panvel
P2678	Wadala Road --> Kharghar
P2679	Guru Tegh Bahadur Nagar --> Tilak Nagar
P2680	Kharghar --> Reay Road
P2681	Sanpada --> Khandeshwar
P2682	Panvel --> Kurla
P2683	Vashi --> Mansarovar
P2684	Dockyard Road --> Sandhurst Road
P2685	Kharghar --> Chhatrapati Shivaji Terminus
P2686	Chhatrapati Shivaji Terminus --> Kharghar
P2687	CBD Belapur --> Chunabhatti
P2688	CBD Belapur --> Vashi
P2689	Kharghar --> Juinagar
P2690	Kurla --> Wadala Road
P2691	Nerul --> Chunabhatti
P2692	Sandhurst Road --> Wadala Road
P2693	Reay Road --> Nerul
P2694	Guru Tegh Bahadur Nagar --> Sandhurst Road
P2695	Wadala Road --> Khandeshwar
P2696	Juinagar --> Panvel
P2697	Reay Road --> Dockyard Road
P2698	Chhatrapati Shivaji Terminus --> Guru Tegh Bahadur Nagar
P2699	Wadala Road --> Dockyard Road
P2700	Nerul --> Sanpada
P2701	Kharghar --> Wadala Road
P2702	Cotton Green --> Govandi
P2703	Chhatrapati Shivaji Terminus --> Khandeshwar
P2704	Govandi --> Sandhurst Road
P2705	Chhatrapati Shivaji Terminus --> Vashi
P2706	Vashi --> Sandhurst Road
P2707	Mankhurd --> Chhatrapati Shivaji Terminus
P2708	Cotton Green --> Tilak Nagar
P2709	Chhatrapati Shivaji Terminus --> Mansarovar
P2710	Kurla --> Chunabhatti
P2711	Guru Tegh Bahadur Nagar --> Sanpada
P2712	Chunabhatti --> Reay Road
P2713	Sewri --> Panvel
P2714	CBD Belapur --> Mansarovar
P2715	Mankhurd --> Khandeshwar
P2716	Seawoods-Darave --> Juinagar
P2717	Kurla --> Govandi
P2718	Panvel --> Cotton Green
P2719	Cotton Green --> Vashi
P2720	Tilak Nagar --> Chembur
P2721	Khandeshwar --> Sanpada
P2722	Tilak Nagar --> Kurla
P2723	Guru Tegh Bahadur Nagar --> Dockyard Road
P2724	Seawoods-Darave --> Sewri
P2725	Cotton Green --> Kurla
P2726	Tilak Nagar --> Guru Tegh Bahadur Nagar
P2727	Vashi --> Nerul
P2728	Tilak Nagar --> Chhatrapati Shivaji Terminus
P2729	Govandi --> Khandeshwar
P2730	Govandi --> Nerul
P2731	Kharghar --> Guru Tegh Bahadur Nagar
P2732	Wadala Road --> Dockyard Road
P2733	Chembur --> Khandeshwar
P2734	Seawoods-Darave --> Govandi
P2735	Sandhurst Road --> Dockyard Road
P2736	Juinagar --> Sandhurst Road
P2737	Kurla --> Panvel
P2738	Mansarovar --> Wadala Road
P2739	Khandeshwar --> Sanpada
P2740	Kharghar --> Nerul
P2741	Chhatrapati Shivaji Terminus --> Sanpada
P2742	Chembur --> Mankhurd
P2743	Khandeshwar --> Chunabhatti
P2744	Nerul --> Sanpada
P2745	Wadala Road --> Sandhurst Road
P2746	Kharghar --> Mankhurd
P2747	Juinagar --> Wadala Road
P2748	Panvel --> Tilak Nagar
P2749	Chunabhatti --> Khandeshwar
P2750	Chhatrapati Shivaji Terminus --> Juinagar
P2751	Dockyard Road --> Wadala Road
P2752	Panvel --> Tilak Nagar
P2753	Chunabhatti --> Vashi
P2754	Dockyard Road --> Mansarovar
P2755	Sanpada --> Sewri
P2756	Sewri --> Reay Road
P2757	Chhatrapati Shivaji Terminus --> Panvel
P2758	Sanpada --> Reay Road
P2759	Seawoods-Darave --> Panvel
P2760	Kurla --> Juinagar
P2761	Cotton Green --> Sandhurst Road
P2762	Guru Tegh Bahadur Nagar --> Govandi
P2763	Chhatrapati Shivaji Terminus --> Nerul
P2764	Chhatrapati Shivaji Terminus --> Nerul
P2765	Kharghar --> Seawoods-Darave
P2766	CBD Belapur --> Mansarovar
P2767	Tilak Nagar --> Cotton Green
P2768	Khandeshwar --> Mankhurd
P2769	Sewri --> Seawoods-Darave
P2770	Juinagar --> Tilak Nagar
P2771	Sandhurst Road --> Mankhurd
P2772	Guru Tegh Bahadur Nagar --> Chembur
P2773	Tilak Nagar --> Cotton Green
P2774	Wadala Road --> Sandhurst Road
P2775	CBD Belapur --> Sanpada
P2776	Chembur --> Cotton Green
P2777	Dockyard Road --> Govandi
P2778	Dockyard Road --> Mankhurd
P2779	Vashi --> Chembur
P2780	Chhatrapati Shivaji Terminus --> Cotton Green
P2781	Khandeshwar --> Guru Tegh Bahadur Nagar
P2782	CBD Belapur --> Sanpada
P2783	Mankhurd --> Cotton Green
P2784	Sanpada --> Chhatrapati Shivaji Terminus
P2785	Chembur --> Seawoods-Darave
P2786	Seawoods-Darave --> Kharghar
P2787	Seawoods-Darave --> Chhatrapati Shivaji Terminus
P2788	Juinagar --> Cotton Green
P2789	Wadala Road --> Dockyard Road
P2790	Mansarovar --> Sanpada
P2791	Panvel --> Sewri
P2792	Nerul --> Juinagar
P2793	Juinagar --> Mansarovar
P2794	Chembur --> Sandhurst Road
P2795	Panvel --> Dockyard Road
P2796	Reay Road --> CBD Belapur
P2797	Cotton Green --> Sewri
P2798	Wadala Road --> CBD Belapur
P2799	CBD Belapur --> Sanpada
P2800	Wadala Road --> Chunabhatti
P2801	Wadala Road --> Reay Road
P2802	Sewri --> Tilak Nagar
P2803	Govandi --> Sanpada
P2804	Khandeshwar --> Wadala Road
P2805	Dockyard Road --> Govandi
P2806	Reay Road --> Guru Tegh Bahadur Nagar
P2807	Chunabhatti --> Kharghar
P2808	Chunabhatti --> Khandeshwar
P2809	Guru Tegh Bahadur Nagar --> Sanpada
P2810	Vashi --> Mankhurd
P2811	Juinagar --> Dockyard Road
P2812	Kharghar --> Sewri
P2813	Chunabhatti --> Sewri
P2814	Juinagar --> Dockyard Road
P2815	Guru Tegh Bahadur Nagar --> Wadala Road
P2816	Reay Road --> Juinagar
P2817	Juinagar --> Guru Tegh Bahadur Nagar
P2818	CBD Belapur --> Mankhurd
P2819	Reay Road --> Kurla
P2820	Tilak Nagar --> Chembur
P2821	Vashi --> Govandi
P2822	Reay Road --> Sanpada
P2823	Dockyard Road --> Govandi
P2824	Sewri --> CBD Belapur
P2825	Seawoods-Darave --> Kurla
P2826	Juinagar --> Govandi
P2827	Khandeshwar --> Reay Road
P2828	Govandi --> Kurla
P2829	Sewri --> Chhatrapati Shivaji Terminus
P2830	Chunabhatti --> Nerul
P2831	Sandhurst Road --> Kharghar
P2832	Juinagar --> Panvel
P2833	Cotton Green --> Govandi
P2834	Sandhurst Road --> Sewri
P2835	Sandhurst Road --> Panvel
P2836	Vashi --> Tilak Nagar
P2837	Sewri --> Sandhurst Road
P2838	Govandi --> Seawoods-Darave
P2839	Tilak Nagar --> Chhatrapati Shivaji Terminus
P2840	Kurla --> Vashi
P2841	Tilak Nagar --> Dockyard Road
P2842	Sewri --> Seawoods-Darave
P2843	Mansarovar --> Kurla
P2844	Juinagar --> Cotton Green
P2845	Reay Road --> Govandi
P2846	Sewri --> Govandi
P2847	Panvel --> Mansarovar
P2848	Seawoods-Darave --> Wadala Road
P2849	Seawoods-Darave --> Chembur
P2850	Vashi --> Nerul
P2851	Kharghar --> Sanpada
P2852	Dockyard Road --> Seawoods-Darave
P2853	CBD Belapur --> Kurla
P2854	Mankhurd --> Dockyard Road
P2855	Chunabhatti --> Kurla
P2856	CBD Belapur --> Chembur
P2857	Chunabhatti --> Sandhurst Road
P2858	Sewri --> Chembur
P2859	Cotton Green --> Reay Road
P2860	Mankhurd --> Khandeshwar
P2861	Khandeshwar --> Seawoods-Darave
P2862	Sanpada --> Juinagar
P2863	Govandi --> Panvel
P2864	Dockyard Road --> Cotton Green
P2865	Sandhurst Road --> CBD Belapur
P2866	Vashi --> Reay Road
P2867	Khandeshwar --> Cotton Green
P2868	Chunabhatti --> Govandi
P2869	Chhatrapati Shivaji Terminus --> Vashi
P2870	Sandhurst Road --> Cotton Green
P2871	Reay Road --> Guru Tegh Bahadur Nagar
P2872	Mankhurd --> CBD Belapur
P2873	Mankhurd --> Vashi
P2874	Khandeshwar --> CBD Belapur
P2875	Sewri --> Nerul
P2876	Sandhurst Road --> Mankhurd
P2877	Sandhurst Road --> Seawoods-Darave
P2878	Juinagar --> Dockyard Road
P2879	Sanpada --> Wadala Road
P2880	Wadala Road --> Dockyard Road
P2881	Govandi --> Seawoods-Darave
P2882	Seawoods-Darave --> Mansarovar
P2883	Chhatrapati Shivaji Terminus --> Dockyard Road
P2884	Reay Road --> Cotton Green
P2885	Tilak Nagar --> Panvel
P2886	Dockyard Road --> CBD Belapur
P2887	Sanpada --> Chembur
P2888	Govandi --> Mansarovar
P2889	Vashi --> Govandi
P2890	Khandeshwar --> Kharghar
P2891	Sanpada --> Kharghar
P2892	Chembur --> Reay Road
P2893	Dockyard Road --> Sandhurst Road
P2894	Sandhurst Road --> Seawoods-Darave
P2895	Tilak Nagar --> Khandeshwar
P2896	Sewri --> Cotton Green
P2897	Vashi --> Dockyard Road
P2898	Kharghar --> Sewri
P2899	Reay Road --> Juinagar
P2900	CBD Belapur --> Tilak Nagar
P2901	Sanpada --> Seawoods-Darave
P2902	Mansarovar --> Sanpada
P2903	Chunabhatti --> Tilak Nagar
P2904	Guru Tegh Bahadur Nagar --> Mansarovar
P2905	Juinagar --> Khandeshwar
P2906	Mankhurd --> Sandhurst Road
P2907	Mankhurd --> Mansarovar
P2908	Chunabhatti --> Nerul
P2909	Kurla --> Tilak Nagar
P2910	Chhatrapati Shivaji Terminus --> Sewri
P2911	Panvel --> Wadala Road
P2912	Chhatrapati Shivaji Terminus --> Chembur
P2913	Nerul --> Mankhurd
P2914	Dockyard Road --> Mansarovar
P2915	Cotton Green --> Reay Road
P2916	Panvel --> Cotton Green
P2917	Guru Tegh Bahadur Nagar --> Dockyard Road
P2918	Chunabhatti --> Chembur
P2919	Reay Road --> Chunabhatti
P2920	Khandeshwar --> Chunabhatti
P2921	Chhatrapati Shivaji Terminus --> Vashi
P2922	Vashi --> Khandeshwar
P2923	Juinagar --> Govandi
P2924	Reay Road --> Seawoods-Darave
P2925	Panvel --> Wadala Road
P2926	Chhatrapati Shivaji Terminus --> Vashi
P2927	Khandeshwar --> Panvel
P2928	Mansarovar --> Dockyard Road
P2929	Dockyard Road --> Sandhurst Road
P2930	Kharghar --> Nerul
P2931	Govandi --> Vashi
P2932	Wadala Road --> Sewri
P2933	Nerul --> Guru Tegh Bahadur Nagar
P2934	Sanpada --> Chunabhatti
P2935	Dockyard Road --> Khandeshwar
P2936	Chunabhatti --> Kurla
P2937	Wadala Road --> Sandhurst Road
P2938	Chembur --> Guru Tegh Bahadur Nagar
P2939	Seawoods-Darave --> Khandeshwar
P2940	Juinagar --> Sewri
P2941	CBD Belapur --> Mansarovar
P2942	Khandeshwar --> Seawoods-Darave
P2943	Reay Road --> Sanpada
P2944	Wadala Road --> Cotton Green
P2945	Sanpada --> Sandhurst Road
P2946	Nerul --> Juinagar
P2947	Sandhurst Road --> Mankhurd
P2948	Seawoods-Darave --> Chunabhatti
P2949	Sandhurst Road --> Mansarovar
P2950	Vashi --> Kurla
P2951	Wadala Road --> Kharghar
P2952	Juinagar --> Chhatrapati Shivaji Terminus
P2953	CBD Belapur --> Reay Road
P2954	Nerul --> Kurla
P2955	Govandi --> Sewri
P2956	Mansarovar --> Kharghar
P2957	Panvel --> Juinagar
P2958	Juinagar --> Kharghar
P2959	Chhatrapati Shivaji Terminus --> Kurla
P2960	Sanpada --> Mankhurd
P2961	Mansarovar --> Dockyard Road
P2962	CBD Belapur --> Dockyard Road
P2963	Juinagar --> Dockyard Road
P2964	Guru Tegh Bahadur Nagar --> Chhatrapati Shivaji Terminus
P2965	Reay Road --> Kurla
P2966	CBD Belapur --> Tilak Nagar
P2967	Mansarovar --> Wadala Road
P2968	Dockyard Road --> Kurla
P2969	Dockyard Road --> Chunabhatti
P2970	Vashi --> Juinagar
P2971	Tilak Nagar --> Mankhurd
P2972	Govandi --> Dockyard Road
P2973	Juinagar --> Seawoods-Darave
P2974	Nerul --> Chunabhatti
P2975	Dockyard Road --> Juinagar
P2976	Chembur --> CBD Belapur
P2977	Chunabhatti --> Guru Tegh Bahadur Nagar
P2978	Cotton Green --> Seawoods-Darave
P2979	Mansarovar --> Dockyard Road
P2980	Kurla --> Nerul
P2981	Reay Road --> Vashi
P2982	Dockyard Road --> Khandeshwar
P2983	Chembur --> Juinagar
P2984	Dockyard Road --> Nerul
P2985	Kurla --> Tilak Nagar
P2986	Mankhurd --> Panvel
P2987	Vashi --> Tilak Nagar
P2988	Nerul --> CBD Belapur
P2989	Chunabhatti --> Juinagar
P2990	Sewri --> Dockyard Road
P2991	Govandi --> Sandhurst Road
P2992	Sanpada --> Nerul
P2993	Govandi --> Mankhurd
P2994	Dockyard Road --> Mankhurd
P2995	CBD Belapur --> Kurla
P2996	Cotton Green --> Panvel
P2997	Govandi --> Nerul
P2998	Mankhurd --> Tilak Nagar
P2999	Reay Road --> Wadala Road
P3000	Chembur --> Dockyard Road
P3001	Khar Road --> Andheri
P3002	Khar Road --> King's Circle
P3003	King's Circle --> Mahim
P3004	Mahim --> Vile Parle
P3005	Vile Parle --> Wadala Road
P3006	Vile Parle --> Mahim
P3007	Santacruz --> Wadala Road
P3008	Wadala Road --> Bandra
P3009	Andheri --> Khar Road
P3010	Andheri --> Bandra
P3011	Bandra --> Vile Parle
P3012	Khar Road --> King's Circle
P3013	Mahim --> Andheri
P3014	King's Circle --> Vile Parle
P3015	Bandra --> Wadala Road
P3016	Wadala Road --> Vile Parle
P3017	Wadala Road --> Vile Parle
P3018	King's Circle --> Andheri
P3019	Mahim --> Khar Road
P3020	Bandra --> Santacruz
P3021	Khar Road --> Bandra
P3022	Santacruz --> Khar Road
P3023	Wadala Road --> Khar Road
P3024	Santacruz --> Mahim
P3025	Khar Road --> Wadala Road
P3026	King's Circle --> Bandra
P3027	King's Circle --> Khar Road
P3028	Santacruz --> Wadala Road
P3029	King's Circle --> Wadala Road
P3030	Santacruz --> Bandra
P3031	Santacruz --> Khar Road
P3032	Andheri --> Santacruz
P3033	Bandra --> Vile Parle
P3034	Mahim --> Bandra
P3035	Andheri --> King's Circle
P3036	Wadala Road --> Vile Parle
P3037	King's Circle --> Santacruz
P3038	Khar Road --> Andheri
P3039	King's Circle --> Mahim
P3040	Bandra --> Vile Parle
P3041	Khar Road --> Vile Parle
P3042	Mahim --> King's Circle
P3043	Andheri --> Khar Road
P3044	Santacruz --> Mahim
P3045	Vile Parle --> Khar Road
P3046	Santacruz --> Khar Road
P3047	Vile Parle --> King's Circle
P3048	Bandra --> Mahim
P3049	Andheri --> Vile Parle
P3050	Mahim --> Bandra
P3051	Khar Road --> King's Circle
P3052	Khar Road --> Vile Parle
P3053	Khar Road --> Bandra
P3054	Bandra --> Wadala Road
P3055	Bandra --> Wadala Road
P3056	Bandra --> King's Circle
P3057	Santacruz --> Bandra
P3058	Vile Parle --> King's Circle
P3059	Vile Parle --> Khar Road
P3060	Andheri --> Vile Parle
P3061	Vile Parle --> Bandra
P3062	Wadala Road --> Bandra
P3063	Vile Parle --> Wadala Road
P3064	Khar Road --> Santacruz
P3065	Wadala Road --> Khar Road
P3066	Andheri --> Wadala Road
P3067	Khar Road --> King's Circle
P3068	King's Circle --> Khar Road
P3069	Wadala Road --> Santacruz
P3070	Khar Road --> King's Circle
P3071	Mahim --> Khar Road
P3072	Khar Road --> Andheri
P3073	Mahim --> King's Circle
P3074	Andheri --> Mahim
P3075	Wadala Road --> King's Circle
P3076	Bandra --> Mahim
P3077	King's Circle --> Bandra
P3078	Santacruz --> Vile Parle
P3079	Andheri --> Santacruz
P3080	King's Circle --> Wadala Road
P3081	King's Circle --> Wadala Road
P3082	King's Circle --> Mahim
P3083	Andheri --> King's Circle
P3084	Khar Road --> Andheri
P3085	Vile Parle --> Khar Road
P3086	King's Circle --> Santacruz
P3087	Wadala Road --> Santacruz
P3088	Khar Road --> Wadala Road
P3089	Andheri --> Bandra
P3090	Andheri --> Khar Road
P3091	King's Circle --> Bandra
P3092	Khar Road --> King's Circle
P3093	Andheri --> Santacruz
P3094	Wadala Road --> Santacruz
P3095	Wadala Road --> Vile Parle
P3096	Khar Road --> Vile Parle
P3097	Vile Parle --> Mahim
P3098	Bandra --> Vile Parle
P3099	Andheri --> Wadala Road
P3100	Khar Road --> Vile Parle
P3101	Mahim --> Khar Road
P3102	King's Circle --> Bandra
P3103	Mahim --> Andheri
P3104	Khar Road --> Andheri
P3105	Bandra --> Khar Road
P3106	Santacruz --> Khar Road
